"","X","trt","age","educ","black","hisp","marr","nodeg","re74","re75","re78"
"1",4,0,28,12,1,0,1,0,0,0,0
"2",8,0,25,12,1,0,0,0,0,0,0
"3",11,0,23,12,1,0,0,0,0,0,4728.725
"4",14,0,34,14,1,0,1,0,0,0,0
"5",15,0,34,16,0,0,1,0,0,0,11821.813
"6",19,0,30,16,0,0,1,0,0,0,0
"7",20,0,21,12,0,0,0,0,0,0,0
"8",21,0,30,17,0,0,0,0,0,0,0
"9",25,0,26,16,0,0,0,0,0,0,9014.1321
"10",27,0,39,15,0,0,1,0,0,0,1921.0445
"11",28,0,26,17,0,0,1,0,0,0,11821.813
"12",29,0,32,16,0,0,1,0,0,0,0
"13",30,0,34,12,0,0,1,0,0,0,0
"14",31,0,31,14,0,0,1,0,0,0,0
"15",32,0,39,17,0,1,1,0,0,0,8866.3594
"16",33,0,40,17,0,0,1,0,0,0,0
"17",34,0,31,12,0,0,1,0,0,0,0
"18",35,0,27,13,0,0,1,0,0,0,28076.805
"19",38,0,26,14,0,0,0,0,0,0,0
"20",42,0,37,13,0,0,1,0,0,0,0
"21",43,0,33,12,0,0,1,0,0,0,0
"22",44,0,31,12,0,0,1,0,0,0,0
"23",45,0,36,12,1,0,1,0,0,0,17732.719
"24",47,0,28,17,0,0,1,0,0,0,0
"25",48,0,30,17,0,0,1,0,0,0,0
"26",50,0,30,12,0,0,1,0,0,0,0
"27",51,0,27,16,0,0,1,0,0,0,0
"28",52,0,37,12,0,0,1,0,0,0,0
"29",53,0,37,12,0,0,1,0,0,0,0
"30",55,0,35,16,0,0,1,0,0,0,0
"31",57,0,27,17,0,0,1,0,0,0,0
"32",65,0,29,16,0,0,1,0,0,0,8396.4424
"33",66,0,39,13,0,0,1,0,0,0,0
"34",67,0,32,12,0,0,1,0,0,0,0
"35",75,0,29,14,0,0,1,0,0,0,0
"36",78,0,26,14,0,0,1,0,0,0,0
"37",81,0,37,12,0,0,1,0,0,0,0
"38",86,0,38,12,0,0,1,0,0,0,0
"39",87,0,37,13,0,0,1,0,0,0,0
"40",88,0,27,17,0,0,1,0,0,0,0
"41",90,0,39,12,0,0,1,0,0,0,0
"42",94,0,34,12,0,0,1,0,0,0,0
"43",97,0,21,14,0,1,0,0,0,71.612903,3657.3733
"44",98,0,26,12,0,0,1,0,0,71.612903,0
"45",99,0,21,13,0,0,0,0,0,692.85484,2659.9078
"46",100,0,23,16,0,0,1,0,0,1521.7742,0
"47",101,0,21,15,0,0,0,0,0,3222.5806,14777.266
"48",102,0,23,14,0,0,0,0,0,3401.6129,5319.8157
"49",103,0,27,16,0,0,1,0,0,4833.871,0
"50",142,0,24,12,1,0,0,0,783.70672,0,10344.086
"51",143,0,22,13,0,0,0,0,783.70672,0,2305.2535
"52",144,0,35,15,0,0,1,0,979.6334,537.09677,0
"53",145,0,26,15,0,0,0,0,979.6334,1879.8387,3250.9985
"54",147,0,23,12,1,0,0,0,1077.5967,3222.5806,5910.9063
"55",151,0,22,12,1,0,1,0,1269.6049,0,0
"56",153,0,24,17,0,0,1,0,1371.4868,0,24825.806
"57",154,0,27,16,0,0,1,0,1469.4501,1253.2258,4363.7266
"58",155,0,21,14,0,0,0,0,1506.6762,2685.4839,11082.949
"59",161,0,30,12,0,0,1,0,1959.2668,1790.3226,1477.7266
"60",164,0,22,15,0,0,0,0,1967.1039,2864.5161,5024.2704
"61",165,0,22,12,1,0,1,0,2006.2892,2470.6452,0
"62",167,0,33,12,0,0,1,0,2351.1202,0,2770.7373
"63",168,0,24,13,0,0,0,0,2351.1202,3127.6935,14777.266
"64",169,0,20,12,1,0,0,0,2351.1202,4475.8065,17732.719
"65",175,0,28,12,1,0,0,0,2938.9002,2864.5161,0
"66",176,0,19,14,0,0,0,0,2938.9002,3222.5806,0
"67",179,0,23,15,0,0,1,0,3320.9572,2506.4516,9974.6544
"68",180,0,24,12,1,0,0,0,3330.7536,4654.8387,11821.813
"69",181,0,27,12,0,0,1,0,3526.6802,0,5910.9063
"70",184,0,27,12,0,0,1,0,3722.6069,254.22581,1090.5622
"71",185,0,27,15,0,0,1,0,3722.6069,4654.8387,19210.445
"72",187,0,27,12,1,0,1,0,3918.5336,1994.4194,17732.719
"73",188,0,23,12,1,0,1,0,3918.5336,2864.5161,8866.3594
"74",193,0,20,12,0,0,1,0,4310.387,0,4433.1797
"75",194,0,30,17,0,0,1,0,4310.387,4296.7742,22476.221
"76",197,0,25,16,0,0,1,0,4604.277,2954.0323,0
"77",198,0,27,15,0,0,1,0,4702.2403,0,0
"78",201,0,20,12,0,0,0,0,4811.9593,716.12903,0
"79",1755,0,23,9,1,0,0,1,0,0,218.70353
"80",1756,0,40,10,0,1,1,1,0,0,0
"81",1759,0,25,11,1,0,0,1,0,0,3694.3164
"82",1761,0,23,11,1,0,0,1,0,0,0
"83",1762,0,23,11,1,0,0,1,0,0,0
"84",1765,0,40,8,0,0,1,1,0,0,0
"85",1766,0,37,10,0,0,1,1,0,0,0
"86",1768,0,36,9,0,0,1,1,0,0,0
"87",1769,0,40,7,0,0,1,1,0,0,8866.3594
"88",1770,0,40,7,0,0,1,1,0,0,8866.3594
"89",1771,0,38,11,0,0,1,1,0,0,0
"90",1778,0,40,8,0,0,1,1,0,0,0
"91",1781,0,33,11,0,0,1,1,0,0,0
"92",1782,0,33,11,0,0,1,1,0,0,0
"93",1789,0,31,9,0,0,1,1,0,0,0
"94",1794,0,22,9,0,0,1,1,0,0,16846.083
"95",1798,0,21,8,1,0,0,1,0,895.16129,2305.2535
"96",1811,0,29,11,1,0,1,1,783.70672,0,23643.625
"97",1812,0,37,9,0,0,0,1,940.44807,3544.8387,1152.6267
"98",1814,0,20,10,0,0,0,1,1381.2831,3523.3548,9309.6774
"99",1815,0,31,6,1,0,0,1,1410.6721,555,16059.932
"100",1817,0,19,11,1,0,0,1,1567.4134,0,0
"101",1818,0,20,11,0,0,1,1,1567.4134,3222.5806,2955.4531
"102",1825,0,20,8,1,0,0,1,1880.8961,3652.2581,1018.1536
"103",1826,0,30,9,1,0,0,1,1959.2668,162.91935,16809.14
"104",1827,0,29,10,1,0,0,1,2037.6375,2685.4839,0
"105",1828,0,22,11,1,0,0,1,2351.1202,0,879.24731
"106",1830,0,20,8,1,0,0,1,2938.9002,1838.6613,1226.5131
"107",1833,0,40,4,1,0,0,1,2962.4114,1933.5484,1034.4086
"108",1835,0,22,9,1,0,0,1,3134.8269,4345.1129,13299.539
"109",1836,0,24,10,1,0,0,1,3152.4603,3902.9032,7447.7419
"110",1839,0,19,6,1,0,0,1,3526.6802,0,0
"111",1841,0,23,11,0,1,0,1,3526.6802,2685.4839,8127.4962
"112",1846,0,30,6,1,0,1,1,3918.5336,3401.6129,4433.1797
"113",1847,0,35,10,1,0,1,1,3918.5336,3795.4839,7802.3963
"114",1848,0,35,10,1,0,1,1,3918.5336,3795.4839,7802.3963
"115",1849,0,35,10,1,0,1,1,3918.5336,3795.4839,7802.3963
"116",1850,0,40,10,0,0,1,1,3918.5336,4833.871,7248.2488
"117",1858,0,19,11,0,0,0,1,4114.4603,4654.8387,8570.8141
"118",1864,0,19,10,1,0,0,1,4702.2403,3437.4194,2364.3625
"119",1865,0,25,10,1,0,1,1,4702.2403,4282.4516,4947.4286
"120",2491,1,37,11,1,0,1,1,0,0,9930.046
"121",2492,1,22,9,0,1,0,1,0,0,3595.894
"122",2493,1,30,12,1,0,0,0,0,0,24909.45
"123",2494,1,27,11,1,0,0,1,0,0,7506.146
"124",2495,1,33,8,1,0,0,1,0,0,289.7899
"125",2496,1,22,9,1,0,0,1,0,0,4056.494
"126",2497,1,23,12,1,0,0,0,0,0,0
"127",2498,1,32,11,1,0,0,1,0,0,8472.158
"128",2499,1,22,16,1,0,0,0,0,0,2164.022
"129",2500,1,33,12,0,0,1,0,0,0,12418.07
"130",2501,1,19,9,1,0,0,1,0,0,8173.908
"131",2502,1,21,13,1,0,0,0,0,0,17094.64
"132",2503,1,18,8,1,0,0,1,0,0,0
"133",2504,1,27,10,1,0,1,1,0,0,18739.93
"134",2505,1,17,7,1,0,0,1,0,0,3023.879
"135",2506,1,19,10,1,0,0,1,0,0,3228.503
"136",2507,1,27,13,1,0,0,0,0,0,14581.86
"137",2508,1,23,10,1,0,0,1,0,0,7693.4
"138",2509,1,40,12,1,0,0,0,0,0,10804.32
"139",2510,1,26,12,1,0,0,0,0,0,10747.35
"140",2511,1,23,11,1,0,0,1,0,0,0
"141",2513,1,38,9,0,0,0,1,0,0,6408.95
"142",2514,1,24,11,1,0,0,1,0,0,1991.4
"143",2515,1,18,10,1,0,0,1,0,0,11163.17
"144",2516,1,29,11,1,0,1,1,0,0,9642.999
"145",2517,1,25,11,1,0,0,1,0,0,9897.049
"146",2518,1,27,10,0,1,0,1,0,0,11142.87
"147",2519,1,17,10,1,0,0,1,0,0,16218.04
"148",2520,1,24,11,1,0,0,1,0,0,995.7002
"149",2521,1,17,10,1,0,0,1,0,0,0
"150",2523,1,25,11,1,0,1,1,0,0,1574.424
"151",2524,1,20,12,1,0,0,0,0,0,0
"152",2525,1,25,12,1,0,0,0,0,0,3191.753
"153",2527,1,25,5,1,0,0,1,0,0,6181.88
"154",2528,1,23,12,1,0,1,0,0,0,5911.551
"155",2530,1,24,10,1,0,0,1,0,0,0
"156",2531,1,21,12,1,0,0,0,0,0,1254.582
"157",2532,1,19,9,0,0,0,1,0,0,13188.83
"158",2533,1,17,8,1,0,0,1,0,0,8061.485
"159",2534,1,18,8,0,1,1,1,0,0,2787.96
"160",2535,1,20,11,1,0,0,1,0,0,3972.54
"161",2536,1,25,11,1,0,1,1,0,0,0
"162",2537,1,17,8,1,0,0,1,0,0,0
"163",2538,1,17,9,1,0,0,1,0,0,0
"164",2539,1,25,5,1,0,0,1,0,0,12187.41
"165",2540,1,23,12,1,0,0,0,0,0,4843.176
"166",2541,1,28,8,1,0,0,1,0,0,0
"167",2542,1,31,11,1,0,1,1,0,0,8087.487
"168",2543,1,18,11,1,0,0,1,0,0,0
"169",2544,1,25,12,1,0,0,0,0,0,2348.973
"170",2545,1,30,11,1,0,1,1,0,0,590.7818
"171",2546,1,17,10,1,0,0,1,0,0,0
"172",2547,1,37,9,1,0,0,1,0,0,1067.506
"173",2550,1,22,11,0,0,0,1,0,0,1048.432
"174",2551,1,17,8,1,0,0,1,0,0,0
"175",2552,1,29,8,1,0,0,1,0,0,1923.938
"176",2553,1,35,10,1,0,0,1,0,0,4666.236
"177",2554,1,27,11,1,0,0,1,0,0,549.2984
"178",2555,1,29,4,1,0,0,1,0,0,762.9146
"179",2556,1,28,9,1,0,0,1,0,0,10694.29
"180",2557,1,27,11,1,0,0,1,0,0,0
"181",2558,1,23,7,0,0,0,1,0,0,0
"182",2560,1,29,13,1,0,0,0,0,0,7479.656
"183",2561,1,27,9,1,0,0,1,0,0,0
"184",2563,1,18,6,1,0,0,1,0,0,0
"185",2564,1,25,12,1,0,0,0,0,0,11965.81
"186",2565,1,28,15,1,0,0,0,0,0,9598.541
"187",2566,1,25,11,0,0,0,1,0,0,18783.35
"188",2567,1,22,12,1,0,0,0,0,0,18678.08
"189",2568,1,21,9,1,0,0,1,0,0,0
"190",2569,1,40,11,1,0,0,1,0,0,23005.6
"191",2570,1,22,11,1,0,0,1,0,0,6456.697
"192",2571,1,25,12,1,0,0,0,0,0,0
"193",2572,1,18,12,1,0,0,0,0,0,2321.107
"194",2573,1,38,12,0,0,0,0,0,0,4941.849
"195",2574,1,27,13,1,0,0,0,0,0,0
"196",2575,1,27,8,1,0,0,1,0,0,0
"197",2576,1,38,11,1,0,0,1,0,0,0
"198",2577,1,23,8,0,1,0,1,0,0,3881.284
"199",2578,1,26,11,1,0,0,1,0,0,17230.96
"200",2579,1,21,12,0,0,0,0,0,0,8048.603
"201",2580,1,25,8,1,0,0,1,0,0,0
"202",2581,1,31,11,1,0,1,1,0,0,14509.93
"203",2582,1,17,10,1,0,0,1,0,0,0
"204",2583,1,25,11,1,0,0,1,0,0,0
"205",2584,1,21,12,1,0,0,0,0,0,9983.784
"206",2586,1,25,12,0,0,0,0,0,0,5587.503
"207",2587,1,18,9,1,0,0,1,0,0,4482.845
"208",2589,1,25,10,1,0,0,1,0,0,0
"209",2590,1,31,9,0,1,0,1,0,0,26817.6
"210",2591,1,24,10,1,0,0,1,0,0,0
"211",2592,1,26,10,1,0,0,1,0,0,9265.788
"212",2593,1,25,11,1,0,0,1,0,0,485.2298
"213",2594,1,18,11,1,0,0,1,0,0,4814.627
"214",2595,1,19,11,1,0,0,1,0,0,7458.105
"215",2598,1,17,9,1,0,0,1,0,0,1953.268
"216",2599,1,30,11,1,0,0,1,0,0,0
"217",2600,1,26,10,1,0,1,1,2027.999,0,0
"218",2602,1,17,9,0,1,0,1,445.1704,74.34345,6210.67
"219",2603,1,20,12,1,0,0,0,989.2678,165.2077,0
"220",2604,1,18,11,1,0,0,1,858.2543,214.5636,929.8839
"221",2605,1,27,12,1,0,1,0,3670.872,334.0493,0
"222",2606,1,21,12,0,0,0,0,3670.872,334.0494,12558.02
"223",2607,1,27,12,1,0,0,0,2143.413,357.9499,22163.25
"224",2608,1,20,12,1,0,0,0,0,377.5686,1652.637
"225",2609,1,19,10,1,0,0,1,0,385.2741,8124.715
"226",2611,1,29,14,1,0,0,0,0,679.6734,17814.98
"227",2612,1,18,10,1,0,0,1,0,798.9079,9737.154
"228",2613,1,19,9,1,0,0,1,0,798.9079,17685.18
"229",2615,1,18,11,0,0,0,1,3678.231,919.5579,4321.705
"230",2616,1,27,9,1,0,1,1,0,934.4454,1773.423
"231",2618,1,23,10,1,0,1,1,0,936.4386,11233.26
"232",2620,1,20,11,1,0,0,1,3637.498,1220.836,1085.44
"233",2621,1,17,9,1,0,0,1,1716.509,1253.439,5445.2
"234",2623,1,26,11,1,0,1,1,0,1392.853,1460.36
"235",2625,1,24,11,1,0,1,1,824.3886,1666.113,4032.708
"236",2626,1,31,9,1,0,0,1,0,1698.607,10363.27
"237",2627,1,23,8,0,0,1,1,0,1713.15,4232.309
"238",2628,1,18,10,1,0,0,1,2143.411,1784.274,11141.39
"239",2630,1,26,11,0,0,0,1,0,2226.266,13385.86
"240",2633,1,24,10,1,0,0,1,4250.402,2421.947,1660.508
"241",2635,1,31,12,0,0,0,0,0,2611.218,2484.549
"242",2636,1,19,11,1,0,0,1,2305.026,2615.276,4146.603
"243",2637,1,19,8,1,0,0,1,0,2657.057,9970.681
"244",2638,1,27,11,1,0,0,1,2206.94,2666.274,0
"245",2639,1,26,11,1,0,1,1,0,2754.646,26372.28
"246",2641,1,28,10,1,0,0,1,0,2836.506,3196.571
"247",2643,1,19,8,1,0,0,1,2636.353,2937.264,7535.942
"248",2647,1,18,9,1,0,0,1,0,3287.375,5010.342
"249",2649,1,27,10,1,0,0,1,1001.146,3550.075,0
"250",2650,1,21,8,1,0,0,1,989.2678,3695.897,4279.613
"251",2651,1,22,9,1,0,0,1,2192.877,3836.986,3462.564
"252",2654,1,29,10,1,0,0,1,0,4398.95,0
